University,Abbreviation,Latitude,Longitude,Logo,Rank,Type,Country,Location,StudentPopulation,Year,Contact,Email,Website,Strength,Description,Exchange,agricultural_veterinary_sciences,arts_design,business_management_law,education_Training,engineering_technology,health_medicine,humanities_languages,ict,natural_sciences,social_behavioral_sciences,services,transport_safety_security_military
Sun Moon University,SMU,36.79,127.002,https://cdn.adscientificindex.com/logos/8578.jpg,NA,private,Korea,Asan,10000,1972,82415302114,korean@sunmoon.ac.kr,https://www.sunmoon.ac.kr/,"Theology, Solar Energy, Bioengineering","Sun Moon University was founded in 1972 and they are popular for theology, solar energy and bioengineering.",TRUE,NA,"Visual Communication Design, Industrial Design, Fine Art","Business Administration, Accounting, International Trade, Law, Hotel Management","Early Childhood Education, Elementary Education, Secondary Education, Special Education","Mechanical Engineering, Electrical Engineering, Civil Engineering, Chemical Engineering, Computer Engineering, Software Engineering","Nursing, Physical Therapy, Occupational Therapy","Korean Language and Literature, English Language and Literature, History, Philosophy, Chinese Language and Literature","Computer Science, Information Systems","Mathematics, Physics, Chemistry, Biology, Environmental Science","Sociology, Psychology, Political Science, Economics",NA,NA
Sunchon National University,SCNU,35.109,126.112,https://cdn.adscientificindex.com/logos/8580.jpg,NA,public,Korea,Suncheon,13000,1935,82617503143,int_admission@scnu.ac.kr,https://www.sunchon.ac.kr/,"Agriculture, Biotechnology, Regional Development","Sunchon National University was founded in 1935 and they are popular for agriculture, biotechnology and regional development.",TRUE,"Agricultural Biotechnology, Agricultural Economics, Horticulture, Livestock Science, Plant Science","Art, Design, Music, Performing Art","Accounting, Business Administration, Economics, Finance, Law, Management, Marketing","Early Childhood Education, Elementary Education, Secondary Education, Special Education, Teacher Education","Chemical Engineering, Civil Engineering, Computer Engineering, Electrical Engineering, Environmental Engineering, Industrial Engineering, Mechanical Engineering, Software Engineering","Nursing, Physical Therapy, Public Health","English Language and Literature, History, Korean Language and Literature, Philosophy, Sociology","Computer Science, Data Science, Information Technology, Software Engineering","Biology, Chemistry, Mathematics, Physics","Psychology, Social Work, Sociology",NA,NA
Sungkyunkwan University,SKKU,37.588,126.994,https://cdn.adscientificindex.com/logos/8582.png,3,private,Korea,Seoul,26000,1398,8227600114,cilee@skku.edu,https://www.skku.edu/eng/index.do,"Samsung-Backed STEM, Business, Nanotechnology, Confucian Studies","Sungkyunkwan University was founded in 1398 and they are popular for samsung-backed stem, business, nanotechnology and confucian studies.",TRUE,NA,"Art History, Visual Communication Design, Industrial Design, Fashion Design, Performing Art","Business Administration, Accounting, Economics, Finance, International Business, Law, Management, Marketing",Educational Studies,"Chemical Engineering, Civil and Environmental Engineering, Electrical Engineering, Mechanical Engineering, Software Engineering, Computer Engineering, Materials Science and Engineering, Energy Science and Engineering, Biomedical Engineering","Medicine, Nursing","Korean Language and Literature, English Language and Literature, Chinese Language and Literature, History, Philosophy, Religion","Computer Science, Data Science","Chemistry, Physics, Mathematics, Biology, Earth Science","Sociology, Psychology, Political Science, Public Administration",NA,NA
Sungshin University,SU,37.604,127.013,https://upload.wikimedia.org/wikipedia/en/thumb/6/65/Sungshin_Women%27s_University_logo.svg/1200px-Sungshin_Women%27s_University_logo.svg.png,NA,private,Korea,Seoul,13000,1936,8229207302,lang@sungshin.ac.kr,https://www.sungshin.ac.kr/,"Women's Education, Music, AI","Sungshin University was founded in 1936 and they are popular for women's education, music and AI.",TRUE,NA,"Art, Design, Performing Art, Fashion Design, Visual Communication Design, Film and Media Art","Business Administration, International Business, Accounting, Finance, Economics, Law","Early Childhood Education, Social Welfare, Special Education",NA,NA,"Korean Language and Literature, English Language and Literature, French Language and Literature, History, Philosophy, Journalism and Broadcasting",Computer Science,NA,"Sociology, Psychology, Political Science, Public Administration",NA,NA
The Catholic University of Korea,CUK,37.486,126.805,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Catholic_University_of_Korea_logo.svg/300px-Catholic_University_of_Korea_logo.svg.png,19,private,Korea,Seoul,11000,1855,82222587077,leeboram@catholic.ac.kr,https://www.catholic.ac.kr/,"Medicine, Theology, Bioethics ","The Catholic University of Korea was founded in 1855 and they are popular for medicine, theology and bioethics.",TRUE,NA,"Visual Communication Design, Industrial Design, Fine Art, Music, Theatre, Film Studies","Business Administration, Accounting, Economics, International Trade, Law","Early Childhood Education, Elementary Education, Secondary Education, Special Education, Educational Psychology","Civil Engineering, Electrical Engineering, Mechanical Engineering, Chemical Engineering, Computer Engineering","Nursing, Physical Therapy, Occupational Therapy","Korean Language and Literature, English Language and Literature, History, Philosophy, Theology","Computer Science, Software Engineering, Data Science","Mathematics, Physics, Chemistry, Biology, Biotechnology","Sociology, Psychology, Political Science, Public Administration, Social Welfare",NA,NA
Ulsan National Institute of Science and Technology,UNIST,35.552,129.259,https://upload.wikimedia.org/wikipedia/en/4/48/Latest_UNIST_logo.jpg,7,public,Korea,Eonyang,4000,2007,82522171127,adm-u@unist.ac.kr,https://www.unist.ac.kr/,"Energy Engineering, Materials Science, sustainability","Ulsan National Institute of Science and Technology was founded in 2007 and they are popular for energy engineering, materials science and sustainability.",TRUE,NA,NA,NA,NA,"Chemical Engineering, Civil and Environmental Engineering, Computer Engineering, Electrical Engineering, Energy Engineering, Industrial Engineering, Materials Science and Engineering, Mechanical Engineering, Architecture, Design and Human Factors Engineering",NA,NA,"Computer Science, Software, Electronic and Information Communication Engineering","Chemistry, Physics, Mathematics, Life Science",NA,NA,NA
University of Incheon,INU,37.386,126.643,https://upload.wikimedia.org/wikipedia/en/thumb/c/c3/Incheon_National_University.svg/1200px-Incheon_National_University.svg.png,34,public,Korea,Incheon,13000,1979,82328359584,isc@inu.ac.kr,https://www.inu.ac.kr/,"Logistics, Maritime Studies, International Trade","University of Incheon was founded in 1979 and they are popular for logistics, maritime studies and international trade.",TRUE,NA,"Visual Communication Design, Industrial Design, Fashion Design, Fine Art","Business Administration, International Trade, Accounting, Finance, Economics, Law","Early Childhood Education, Elementary Education, Secondary Education","Civil Engineering, Mechanical Engineering, Electrical Engineering, Computer Engineering, Chemical Engineering, Software Engineering",NA,"English Language and Literature, Korean Language and Literature, History, Philosophy, Chinese Language and Literature, Japanese Language and Literature","Computer Science, Information Systems, Data Science","Mathematics, Physics, Chemistry, Biology, Environmental Science","Psychology, Sociology, Political Science, Public Administration",NA,NA
University of Seoul,UOS,37.583,127.057,https://cdn.adscientificindex.com/logos/11365.jpg,23,public,Korea,Seoul,12000,1918,82264906114,webmaster@uos.ac.kr,https://www.uos.ac.kr/,"Urban Planning, Public Administration, Environmental Engineering ","University of Seoul was founded in 1918 and they are popular for urban planning, public administration and environmental engineering.",TRUE,NA,"Art, Design, Visual Communication Design, Industrial Design, Fashion Design, Film Studies","Business Administration, Accounting, Economics, Finance, International Trade, Law, Real Estate","Early Childhood Education, Elementary Education, Secondary Education, Special Education, Educational Psychology","Civil Engineering, Mechanical Engineering, Electrical Engineering, Chemical Engineering, Computer Engineering, Software Engineering, Architectural Engineering, Environmental Engineering","Nursing, Physical Therapy, Occupational Therapy, Healthcare Management","Korean Language and Literature, English Language and Literature, History, Philosophy, Political Science, Chinese Language and Literature, Japanese Language and Literature","Computer Science, Information Security, Data Science, Artificial Intelligence","Mathematics, Physics, Chemistry, Biology, Biotechnology","Sociology, Psychology, Social Work, Public Administration",NA,NA
University of Suwon,-,37.288,127.018,https://upload.wikimedia.org/wikipedia/commons/e/e7/%EC%88%98%EC%9B%90%EB%8C%80%ED%95%99%EA%B5%90%EC%98%81%EB%AC%B8%EB%A1%9C%EA%B3%A0.png,60,private,Korea,Suwon,10000,1977,82312298077,intl.college@suwon.ac.kr,https://en.suwon.ac.kr/?menuno=2916,"Agriculture, Biotechnology, Engineering, Sports Science","University of Suwon was founded in 1977 and they are popular for agriculture, biotechnology, engineering and sports science.",TRUE,NA,"Visual Communication Design, Industrial Design, Fashion Design, Fine Art, Digital Art, Media Art, Animation, Game Design","Business Administration, Accounting, Finance, Marketing, Management Information Systems, International Trade, Economics, Law, Real Estate","Early Childhood Education, Elementary Education, Secondary Education, Special Education, Physical Education, Educational Psychology","Civil Engineering, Mechanical Engineering, Electrical Engineering, Chemical Engineering, Computer Engineering, Software Engineering, Environmental Engineering, Industrial Engineering, Bioengineering, Robotics Engineering, Mechatronics Engineering, Aerospace Engineering","Nursing, Physical Therapy, Occupational Therapy, Medical Technology, Healthcare Administration, Public Health","Korean Language and Literature, English Language and Literature, History, Philosophy, Religion, French, Spanish, Chinese, Japanese, German","Computer Science, Information Systems, Data Science, Cybersecurity, Artificial Intelligence, Network Engineering, Multimedia Engineering","Mathematics, Physics, Chemistry, Biology, Biochemistry, Environmental Science, Earth Science, Astronomy","Sociology, Psychology, Political Science, Anthropology, Social Work, Criminology",NA,NA
University of Ulsan,-,35.537,129.259,https://cdn.adscientificindex.com/logos/11523.jpg,14,private,Korea,Ulsan,15000,1970,82522205952,international@mail.ulsan.ac.kr,https://www.ulsan.ac.kr/,"Automotive Engineering, Medicine",University of Ulsan was founded in 1970 and they are popular for automotive engineering and medicine.,TRUE,NA,"Visual Communication Design, Industrial Design","Business Administration, Accounting, Finance, International Commerce, Economics, Law",NA,"Mechanical Engineering, Electrical Engineering, Civil and Environmental Engineering, Chemical Engineering, Materials Science and Engineering, Computer Engineering, Robotics Engineering, Energy Engineering, Architectural Engineering",NA,"Korean Language and Literature, English Language and Literature, History, Philosophy, Sociology","Computer Science, Information and Communication Engineering","Chemistry, Physics, Biology, Mathematics","Psychology, Public Administration",NA,NA
Wonkwang University,WKU,35.958,126.954,https://cdn.adscientificindex.com/logos/11991.jpg,63,private,Korea,Iksan,17000,1946,822220252,bon5752@wku.ac.kr,https://www.wku.ac.kr/,"Traditional Korean Medicine, Dentistry, Public Health","Wonkwang University was founded in 1946 and they are popular for traditional korean medicine, dentistry and public health.",TRUE,"Agricultural Biotechnology, Livestock Science, Horticulture, Food Science and Technology, Veterinary Medicine","Visual Communication Design, Industrial Design, Fine Art, Music, Dance, Drama, Film Studies","Business Administration, Accounting, Finance, Economics, Management Information Systems, Marketing, International Business, Law","Early Childhood Education, Elementary Education, Secondary Education, Special Education, Physical Education, Educational Psychology","Civil Engineering, Mechanical Engineering, Electrical Engineering, Chemical Engineering, Computer Engineering, Software Engineering, Environmental Engineering","Medicine, Nursing, Pharmacy, Dental Hygiene, Medical Technology, Physical Therapy, Occupational Therapy, Radiologic Technology","Korean Language and Literature, English Language and Literature, Chinese Language and Literature, Japanese Language and Literature, History, Philosophy, Religion","Computer Science, Information Systems, Data Science, Cybersecurity","Biology, Chemistry, Physics, Mathematics, Environmental Science","Sociology, Psychology, Social Work, Political Science, Public Administration","Tourism, Hospitality Management",NA
Woosong University,WSU,36.319,127.406,https://cdn.adscientificindex.com/logos/28380.png,34,private,Korea,Daejeon,15000,1954,82426296114,iaccoordinator@wsu.ac.kr,https://www.wsu.ac.kr/,"Hospitality, rail Transport, Global Business","Woosong University was founded in 1954 and they are popular for hospitality, rail transport and global business.",TRUE,NA,"Visual Communication Design, Industrial Design, Digital Media Design","Business Administration, International Business, Accounting, Hotel Management, Tourism",NA,NA,NA,"English Language and Literature, Korean Language and Literature, Global Studies","Software Engineering, Computer Engineering, Data Science",Biotechnology,Psychology,NA,NA
Woosuk University,WU,35.866,127.147,https://cdn.adscientificindex.com/logos/11994.jpg,66,private,Korea,Wanju-gun,12000,1979,82632901114,global@woosuk.ac.kr,https://english.woosuk.ac.kr/en/,"Traditional Korean Medicine, Sports Science",Woosuk University was founded in 1979 and they are popular for traditional korean medicine and sports science.,TRUE,NA,"Visual Communication Design, Industrial Design, Fashion Design, Film and Broadcasting, Performing Art","Business Administration, Accounting, International Trade, Finance, Management Information Systems, Law","Early Childhood Education, Elementary Education, Secondary Education, Special Education","Computer Engineering, Electrical Engineering, Mechanical Engineering, Civil Engineering, Chemical Engineering","Nursing, Physical Therapy, Occupational Therapy, Medical Technology","Korean Language and Literature, English Language and Literature, History, Philosophy, Religious Studies","Computer Science, Software Engineering, Data Science, Information Security","Biology, Chemistry, Physics, Mathematics","Sociology, Psychology, Political Science, Economics, Social Work",NA,NA
Yeungnam University,YU,35.836,128.756,https://cdn.adscientificindex.com/logos/12097.jpg,19,private,Korea,Gyeongsan,32000,1967,82538107871,helena5115@ynu.ac.kr,https://www.yu.ac.kr/,"Materials Engineering, Business, Regional Economics","Yeungnam University was founded in 1967 and they are popular for materials engineering, business and regional economics.",TRUE,NA,"Visual Communication Design, Industrial Design, Textile Design, Fine Art, Music, Design, Art Education","Business Administration, Accounting, International Trade, Marketing, Management Information Systems, Finance, Economics, Law, Real Estate, Hotel Management","Early Childhood Education, Elementary Education, Secondary Education, Special Education, Physical Education, Educational Psychology","Civil Engineering, Mechanical Engineering, Electrical Engineering, Chemical Engineering, Computer Engineering, Industrial Engineering, Architectural Engineering, Environmental Engineering, Mechatronics Engineering, Software Engineering","Nursing, Medical Technology, Pharmacy, Physical Therapy, Occupational Therapy, Dental Hygiene, Medical Imaging","Korean Language and Literature, English Language and Literature, Chinese Language and Literature, Japanese Language and Literature, History, Philosophy, Religion, French, German, Spanish","Computer Science, Information Systems, Data Science, Cybersecurity, Artificial Intelligence, Software Engineering","Mathematics, Physics, Chemistry, Biology, Biochemistry, Environmental Science, Earth Science, Food Science","Sociology, Psychology, Political Science, Social Work, Public Administration, Anthropology, Criminology",NA,NA
Yonsei University,YU,37.564,126.939,https://upload.wikimedia.org/wikipedia/en/thumb/9/95/YonseiUniversityEmblem.svg/1200px-YonseiUniversityEmblem.svg.png,3,private,Korea,Seoul,37000,1885,82221237371,amber@yonsei.ac.kr,https://www.yonsei.ac.kr/,"Medicine, Business, International Studies, Liberal Arts","Yonsei University was founded in 1885 and they are popular for medicine, business, international studies and liberal arts.",TRUE,NA,"Fine Art, Design, Music, Theatre and Film, Dance, Visual Communication Design","Economics, Business Administration, Accounting, Finance, International Studies, Law, Political Science and Diplomacy","Education, Early Childhood Education, Special Education","Electrical Engineering, Computer Science and Engineering, Chemical Engineering, Civil and Environmental Engineering, Mechanical Engineering, Materials Science and Engineering, Industrial Engineering, Architectural Engineering, Robotics Engineering","Medicine, Dentistry, Nursing, Healthcare Administration","Korean Language and Literature, English Language and Literature, French Language and Literature, German Language and Literature, Chinese Language and Literature, Japanese Language and Literature, History, Philosophy, Religion","Computer Science, Data Science","Chemistry, Physics, Biology, Mathematics, Statistics","Sociology, Psychology, Anthropology, Social Welfare",NA,NA
American University,AU,38.9372,-77.0866,https://upload.wikimedia.org/wikipedia/en/thumb/8/8b/American_University_Seal.svg/270px-American_University_Seal.svg.png,99,private,USA,Washington D.C.,12000,1893,12028851000,admissions@american.edu,american.edu,"International Relations, Political Science, Business, Communications","American University was founded in 1893 and they are popular for international relations, political science, business and communications.",NA,NA,"Art History, Graphic Design, Studio Art, Photography, Music, Musical Theatre, Dance, Theatre and Performance, Audio Technology, Cinematography and Film/Video Production, Film and Media Art, Game and Interactive Media Design, Recording Art Technology","Accounting, Business Administration, Business and Entertainment, Business Language and Culture, Finance, Business Statistics, Econometrics, Management Science, Marketing, Project Management, Real Estate, Taxation",NA,"Elementary Education, Secondary Education, Teacher Education, Special Education, Learning Science, Instructional Design, Educational Leadership and Administration","Elementary Education, Secondary Education, Teacher Education, Special Education, Learning Science, Instructional Design, Educational Leadership and Administration","Computer Science, Computational Science, Applied Mathematics, Data Science, Audio Technology","Public Health, Health Promotion, Premedical Certificate","African American and African Diaspora Studies, American Studies, Literature, Creative Writing, History, Jewish Studies, Philosophy, Religious Studies, Gender Women's and Sexuality Studies, TESOL, French Studies, German Studies, Spanish Studies, Russian Studies, Arabic Studies, Linguistics","Computer Science, Information Science","Biology, Biochemistry, Chemistry, Environmental Science, Environmental Studies, Physics, Neuroscience, Statistics, Mathematics, Applied Mathematics, Computational Science","Anthropology, Economics, Political Science, International Relations, Sociology, Psychology, Communication Studies, Journalism, Public Relations and Strategic Communication"
Arizona State University,ASU,33.418,-111.9337,https://upload.wikimedia.org/wikipedia/en/thumb/a/a1/Arizona_State_University_seal.svg/270px-Arizona_State_University_seal.svg.png,38,public,USA,Tempe,55000,1885,14809659011,admission@asu.edu,asu.edu,"Business, Engineering, Journalism, Psychology","Arizona State University was founded in 1885 and they are popular for business, engineering, journalism and psychology.",NA,Sustainable Horticulture,"Architecture, Landscape Architecture, Interior Architecture, Industrial Design, Graphic Design, Animation, Digital Photography, Painting and Drawing, Sculpture, Textiles, Intermedia, Ceramics, Museum Studies, Digital Culture, Theatre, Film and Media Production, Dance, Music, Fashion, Urban Planning","Accounting, Business Administration and Management, International Business/Trade/Commerce, Finance, Marketing, Management Science, Entrepreneurship, Operations Management, Organizational Leadership, Taxation, Real Estate Development, Nonprofit/Public Organizational Management, Tourism and Travel Services Management","Pre-Elementary Education, Secondary Education, Counseling and Applied Psychological Science, Organizational Leadership, Teacher Education","Biomedical Engineering, Chemical Engineering, Civil Engineering, Mechanical Engineering, Industrial Engineering, Environmental Engineering, Software Engineering, Computer Science, Computer Information Systems, Information Technology, Aerospace/Manufacturing/Construction Engineering, Engineering Technology","Health Science, Nursing, Neuroscience, Biomedical Science, Kinesiology and Exercise Science, Speech and Hearing Science, Food/Nutrition and Dietetics, Healthcare Management, Public Health, Biochemistry, Microbiology, Molecular Biosciences and Biotechnology","African-American/Black Studies, American Indian Studies, Asian Studies, Hispanic-American/Chicano Studies, Women's Studies, Philosophy, Religious Studies, Ethics/Peace/Human Rights, History, English, Linguistics","Computer Science, Software Engineering, Computer Information Systems, Information Technology, Human-Computer Interaction, Bioinformatics, Data Science, Computational and Applied Mathematics, Cybersecurity","Biology, Environmental Biology, Chemistry, Biochemistry, Microbiology, Biophysics, Botany, Evolutionary Biology, Physics, Astronomy and Astrophysics, Forensic Science, Geology/Geological Science, Environmental Science and Studies, Biochemistry and Molecular Biology, Pharmacology and Toxicology","Anthropology, Sociology, Psychology, Criminology and Criminal Justice, Public Affairs/Policy, Political Science, International Relations, Social Work, Communication, Journalism and Mass Communication, Legal Studies, Urban and Community Planning, Family Studies","Healthcare Management, Laboratory Technician, Business Support Services, Community Resource Development, Public Administration, Social Work","Criminal Justice and Corrections, Criminal Justice and Law Enforcement Administration, Homeland Security and Disaster Management"
Boston College,BC,42.3365,-71.1687,https://upload.wikimedia.org/wikipedia/en/thumb/0/00/Boston_College_seal.svg/270px-Boston_College_seal.svg.png,88,private,USA,Chestnut Hill,14000,1863,16175528000,admission@bc.edu,bc.edu,"Business, Economics, Nursing, Theology","Boston College was founded in 1863 and they are popular for business, economics, nursing and theology.",NA,NA,"Art History, Studio Art, Drama and Theatre Art, Film/Cinema/Media Studies, Digital Communications, Graphic Design, Music","Accounting, Accounting for Finance and Consulting, Business Administration and Management, Finance, Management Science and Information Systems, Marketing, Operations Management, Business Analytics, Corporate Reporting and Analysis, Entrepreneurship, General Management","Elementary Education and Teaching, Secondary Education and Teaching, Mathematics Teacher Education, Foreign Language Teacher Education, Applied Psychologyand Human Development, Curriculum and Instruction, Educational Leadership and Administration",NA,"Nursing, Global Public Health and the Common Good","English Language and Literature, Creative Writing, History, Philosophy, Theology/Theological Studies, Religious Education, Classics and Classical Languages, French Language and Literature, German Studies, Hispanic Studies, Italian Language and Literature, Latin Language and Literature, Slavic Languages and Literatures, Linguistics, Islamic Studies, Near and Middle Eastern Studies, African-American/Black Studies","Computer Science, Information Science, Cybersecurity, Digital Communications, Information Technology","Biology, Neuroscience, Biochemistry, Chemistry, Physics, Environmental Science, Environmental Studies, Geology/Earth Science","Econometrics and Quantitative Economics, Economics, Political Science and Government, International/Global Studies, Sociology, Psychology, Communication, Film/Cinema/Media Studies, Social Work, Criminal and Social Justice, Legal Studies, Public Administration","Public Administration, Social Work, Healthcare Administration/Management","Criminal Justice/Safety Studies, Legal Studies"
Boston University,BU,42.3505,-71.1054,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Boston_University_seal.svg/330px-Boston_University_seal.svg.png,26,private,USA,Boston,28000,1839,16173532000,admissions@bu.edu,bu.edu,"Business, Communications, Health Science, International Relations","Boston University was founded in 1839 and they are popular for business, communications, health sciences and international relations.",NA,NA,"Acting, Graphic Design, Directing and Theatrical Production, Drama and Theatre Art, Art History/Criticism and Conservation, Film/Cinema Studies, Painting, Printmaking, Sculpture, Technical Theatre/Theatre Design and Technology, Music Performance, English and Creative Writing","Business Administration and Management, Finance, Accounting, Marketing, Business Analytics, International Management, Information Systems, Operations and Technology Management, Entrepreneurship, Organizational Behavior, Business Law, General Management, Hospitality Administration and Management","Art Teacher Education, Early Childhood Education and Teaching, Elementary Education and Teaching, English/Language Art Teacher Education, Foreign Language Teacher Education, Mathematics Teacher Education, Music Teacher Education, Science Teacher Education, Social Studies Teacher Education, Special Education and Teaching","Biomedical Engineering, Computer Engineering, Electrical Engineering, Mechanical Engineering, Aerospace Engineering, Engineering Physics/Applied Physics, General Engineering","Athletic Training/trainer, Audiology and Speech-Language Pathology, Clinical/Medical Laboratory Technician, Health Professions and Allied Health Science, Nutritional Science, Pre-Medicine, Pre-Dentistry, Rehabilitation Science/Professions, Behavior and Health Science, Health Services/Science","American Studies, Ancient Studies/Civilization, Archaeology, Asian Studies, Chinese Language and Literature, Classical Studies, Comparative Literature, East Asian Studies, English Language and Literature, European Studies, French Language and Literature, German Language and Literature, Hispanic and Latin American Languages and Literature, History, Italian Studies, Japanese Language and Literature, Latin Language and Literature, Linguistics, Middle Eastern and South Asian Languages and Literature, Near and Middle Eastern Studies, Philosophy, Religion/Religious Studies, Russian Language and Literature, Spanish Language and Literature","Computer Science, Information Science, Artificial Intelligence, Computer Systems Networking and Telecommunications, Computer and Information Systems Security, Data Modeling/Warehousing, Computer Software and Media Applications, Business Analytics, Management Information Systems","Astronomy, Biology, Chemistry, Environmental Science, Earth and Environment, Physics, Biochemistry and Molecular Biology, Mathematics, Computational Mathematics, Neuroscience, Environmental Biology, Geophysics and Planetary Science","Anthropology, Criminal Justice/Safety Studies, Economics, International Relations and Affairs, Political Science and Government, Psychologyand Brain Science, Sociology, Urban Studies/Affairs, Geography, Communication and Media Studies, Advertising, Journalism, Public Relations/Image Management, Radio and Television","Hospitality Administration and Management, Youth Services/Administration",Criminal Justice/Safety Studies
Brandeis University,BU,42.3656,-71.2586,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Brandeis_University_seal.svg/270px-Brandeis_University_seal.svg.png,100,private,USA,Waltham,6000,1948,17817362000,admissions@brandeis.edu,brandeis.edu,"Economics, Biology, International Studies, Business","Brandeis University was founded in 1948 and they are popular for economics, biology, international studies and business.",NA,NA,"Art History/Criticism and Conservation, Drama and Theatre Art, Film/Cinema Studies, Fine/Studio Art, Music General","Business/Commerce General, International Business/Trade/Commerce, Non-Profit/Public/Organizational Management, Management Science, Project Management","Education General, Educational Leadership and Administration, Elementary Education and Teaching, Secondary Education and Teaching, Foreign Language Teacher Education",NA,"Biochemistry, Biology/Biological Science, Biophysics, Neuroscience, Health Policy Analysis, Medical Informatics","African-American/Black Studies, American/United States Studies, Classics and Classical Languages, Comparative Literature, Creative Writing, East Asian Studies, English Language and Literature, European Studies, French Studies, German Studies, History, Latin American Studies, Linguistics, Near and Middle Eastern Studies, Philosophy, Russian Studies, Spanish and Iberian Studies, Women's Studies","Computer Science, Artificial Intelligence, Computer and Information Systems Security/Auditing/Information Assurance, Computer Programming, Computer/Information Technology Services Administration and Management, Data Modeling/Warehousing and Database Administration","Biochemistry, Biology/Biological Science, Biophysics, Chemistry, Environmental Studies, Physics, Applied Mathematics / Computational and Applied Mathematics, Mathematics, Neuroscience","Anthropology, Community Organization and Advocacy, Development Economics and International Development, Econometrics and Quantitative Economics, Experimental Psychology, Political Science and Government, Public Policy Analysis, Sociology",NA,NA
Brown University,BU,41.8262,-71.4032,https://upload.wikimedia.org/wikipedia/en/thumb/5/50/Shield_of_Brown_University.svg/195px-Shield_of_Brown_University.svg.png,23,private,USA,Providence,11000,1764,14018631000,admission@brown.edu,brown.edu,"Computer Science, Economics, Biology, International Relations","Brown University was founded in 1764 and they are popular for computer science, economics, biology and international relations.",NA,NA,"Art, Media and Performance, History of Art and Architecture, Theatre Art and Performance Studies, Film/Cinema Studies, Visual Art, Music, Literary Art","Business, Entrepreneurship and Organization, Public Policy, Economics",Education Studies,"Engineering, Biomedical Engineering, Engineering and Physics, Chemical Physics","Health and Human Biology, Public Health","Africana Studies, American Studies, Ancient Studies/Archaeology, Classics, Comparative Literature, English, European Studies, French Studies, German Studies, Hispanic Literatures and Culture, History, Italian Studies, Judaic Studies, Latin American and Caribbean Studies, Linguistics, Literary Art, Middle East Studies, Modern Culture and Media, Philosophy, Portuguese and Brazilian Studies, Religious Studies, Slavic Studies, South Asian Studies","Computer Science, Cognitive Science, Computational Biology, Mathematics and Computer Science, Statistics, Applied Mathematics, Computational and Applied Mathematics","Astronomy, Biology, Biochemistry and Molecular Biology, Chemistry, Earth/Astronomy, Environmental Studies, Physics, Neuroscience, Statistics, Applied Mathematics, Computational Biology","Anthropology, Behavioral Decision Science, Cognitive Neuroscience, Development Studies, Economics, International Relations, Political Science, Psychology, Science, Technology and Society, Social Analysis and Research, Sociology, Urban Studies",NA,NA
California Institute of Technology,CIT,34.1377,-118.1253,https://upload.wikimedia.org/wikipedia/en/thumb/a/a4/Seal_of_the_California_Institute_of_Technology.svg/300px-Seal_of_the_California_Institute_of_Technology.svg.png,4,private,USA,Pasadena,3000,1891,16263956811,ugadmissions@caltech.edu,caltech.edu,"Physics, Engineering, Computer Science, Mathematics","California Institute of Technology was founded in 1891 and they are popular for physics, engineering, computer science and mathematics.",NA,NA,"Visual Art, Art/Media/Performance, History of Art and Architecture, Theatre Art and Performance Studies, Film Studies, Music, Literary Art","Business, Economics, Business, Entrepreneurship and Organization",Education Studies,"Mechanical Engineering, Electrical Engineering, Materials Science, Engineering and Applied Science, Computer Science, Applied Physics, Chemical Physics, Aerospace, Bioengineering","Health and Human Biology, Biomedical Engineering, Neuroscience, Biochemistry and Molecular Biology, Environmental Science and Engineering, Control and Dynamical Systems, Information and Data Science","Literary Art, History of Art and Architecture, Music, Theatre, Film Studies","Computer Science, Information and Data Science, Applied and Computational Mathematics, Control and Dynamical Systems","Biology, Biochemistry and Molecular Biology, Chemistry, Physics, Earth/Astronomy, Environmental Science and Engineering, Geological and Planetary Science","Economics, Public Policy, Education Studies, Business and Entrepreneurship",NA,NA
